Price,Close,High,Low,Open,Volume
Ticker,BTC=F,BTC=F,BTC=F,BTC=F,BTC=F
Date,,,,,
2021-09-07,46780.0,53125.0,43705.0,51755.0,13967
2021-09-08,46520.0,47440.0,44500.0,46590.0,5680
2021-09-09,46645.0,47465.0,45545.0,46250.0,4052
2021-09-10,45675.0,47065.0,44750.0,46545.0,4853
2021-09-13,44815.0,46945.0,43310.0,45240.0,7363
2021-09-14,46515.0,47025.0,44705.0,45215.0,3802
2021-09-15,48190.0,48510.0,46635.0,46700.0,3080
2021-09-16,47495.0,48600.0,47050.0,48270.0,4538
2021-09-17,47490.0,48225.0,46670.0,47600.0,3893
2021-09-20,43780.0,47620.0,42365.0,47415.0,8330
2021-09-21,42030.0,43870.0,40085.0,43410.0,8523
2021-09-22,43385.0,44025.0,40145.0,41330.0,7828
2021-09-23,44785.0,44970.0,43095.0,43255.0,5357
2021-09-24,42359.41015625,45115.0,40855.0,44790.0,11471
2021-09-27,43150.0,44580.0,42770.0,43635.0,5221
2021-09-28,41600.0,43555.0,41145.0,43215.0,4666
2021-09-29,41155.0,42735.0,40785.0,41890.0,3694
2021-09-30,43615.0,44175.0,41040.0,41240.0,4869
2021-10-01,48390.0,48705.0,43330.0,43735.0,9404
2021-10-04,49855.0,50000.0,47180.0,48070.0,5865
2021-10-05,51630.0,52165.0,49100.0,49310.0,8408
2021-10-06,55700.0,55935.0,50855.0,52165.0,9662
2021-10-07,54470.0,56325.0,53855.0,55580.0,5323
2021-10-08,55180.0,56815.0,54155.0,54925.0,5063
2021-10-11,57990.0,58355.0,54820.0,55330.0,5686
2021-10-12,55815.0,58215.0,54370.0,57700.0,6691
2021-10-13,57750.0,57950.0,54700.0,56350.0,6939
2021-10-14,58195.0,59025.0,57190.0,57700.0,6318
2021-10-15,62075.0,63525.0,57250.0,58150.0,11665
2021-10-18,61650.0,63230.0,60100.0,61120.0,10019
2021-10-19,64660.0,64780.0,61730.0,61905.0,15283
2021-10-20,66665.0,67680.0,63830.0,64490.0,15201
2021-10-21,62910.0,66960.0,62140.0,66160.0,15609
2021-10-22,61080.0,63950.0,60210.0,62890.0,10125
2021-10-25,62725.0,63865.0,60820.0,61080.0,7184
2021-10-26,61975.0,63345.0,61810.0,62855.0,7404
2021-10-27,59065.0,61450.0,57855.0,61255.0,12927
2021-10-28,61335.0,62400.0,57855.0,58790.0,9715
2021-10-29,61149.26171875,62030.0,60220.0,61295.0,6361
2021-11-01,61615.0,62850.0,59700.0,61995.0,4979
2021-11-02,64015.0,64665.0,60900.0,61010.0,5238
2021-11-03,63065.0,63965.0,60945.0,63580.0,5495
2021-11-04,61360.0,63475.0,60860.0,63450.0,5009
2021-11-05,61380.0,62865.0,60905.0,61435.0,3534
2021-11-08,66485.0,67035.0,62905.0,62910.0,6018
2021-11-09,67625.0,69000.0,66480.0,66715.0,5457
2021-11-10,66075.0,69355.0,63020.0,67670.0,7709
2021-11-11,65055.0,65895.0,64340.0,65210.0,3912
2021-11-12,64235.0,65720.0,62385.0,65400.0,6895
2021-11-15,63910.0,66555.0,63415.0,64625.0,5438
2021-11-16,59730.0,64025.0,58515.0,63955.0,9161
2021-11-17,60485.0,60890.0,58475.0,60700.0,6300
2021-11-18,58015.0,61035.0,56600.0,59980.0,9180
2021-11-19,57900.0,58410.0,55600.0,56450.0,8253
2021-11-22,55815.0,59645.0,55585.0,59100.0,11800
2021-11-23,57855.0,57940.0,55375.0,56575.0,9700
2021-11-24,57415.0,57765.0,55825.0,57650.0,10085
2021-11-26,54465.6484375,59470.0,53625.0,57000.0,11541
2021-11-29,58470.0,59285.0,56290.0,56290.0,5946
2021-11-30,57780.0,59680.0,56145.0,58530.0,7792
2021-12-01,56990.0,59545.0,56650.0,57660.0,6552
2021-12-02,57175.0,57705.0,55990.0,57305.0,5835
2021-12-03,53545.0,57945.0,51585.0,57030.0,11175
2021-12-06,48960.0,50730.0,47215.0,49265.0,9344
2021-12-07,50600.0,52195.0,50360.0,50745.0,4985
2021-12-08,50925.0,51370.0,48645.0,50600.0,4851
2021-12-09,47675.0,50940.0,47345.0,50400.0,5159
2021-12-10,48490.0,50265.0,47325.0,47940.0,6036
2021-12-13,46595.0,50480.0,45700.0,50205.0,6827
2021-12-14,47870.0,48700.0,46295.0,46950.0,5871
2021-12-15,49350.0,49605.0,46570.0,48350.0,8301
2021-12-16,48010.0,49500.0,47595.0,48940.0,5529
2021-12-17,46250.0,48010.0,45415.0,47870.0,4533
2021-12-20,47060.0,47555.0,45515.0,47280.0,4303
2021-12-21,48685.0,49390.0,46710.0,46835.0,3998
2021-12-22,49045.0,49635.0,48500.0,49280.0,2811
2021-12-23,51060.0,51470.0,48035.0,49085.0,4756
2021-12-27,51275.0,52200.0,50520.0,51040.0,5511
2021-12-28,47755.0,51045.0,47300.0,51025.0,7868
2021-12-29,47370.0,48095.0,46550.0,47585.0,6913
2021-12-30,47170.0,47970.0,45880.0,47230.0,6480
2021-12-31,47977.03125,48590.0,46915.0,47055.0,3726
2022-01-03,45865.0,47660.0,45680.0,47120.0,4161
2022-01-04,46305.0,47650.0,45485.0,46205.0,5049
2022-01-05,43830.0,47100.0,43290.0,46100.0,8922
2022-01-06,43215.0,43720.0,42375.0,43405.0,5222
2022-01-07,41870.0,43240.0,40470.0,43170.0,9276
2022-01-10,41745.0,42245.0,39470.0,42205.0,8665
2022-01-11,42805.0,43155.0,41220.0,41595.0,6191
2022-01-12,43825.0,44310.0,42455.0,42695.0,4068
2022-01-13,42675.0,44450.0,42280.0,43880.0,4068
2022-01-14,43120.0,43445.0,41680.0,42620.0,4202
2022-01-18,41665.0,43315.0,41175.0,43270.0,6821
2022-01-19,41575.0,42615.0,41080.0,42430.0,6542
2022-01-20,42675.0,43545.0,41260.0,41940.0,7229
2022-01-21,38180.0,41135.0,36150.0,41125.0,11781
2022-01-24,37220.0,37600.0,32855.0,35555.0,16299
2022-01-25,36855.0,37550.0,35725.0,36490.0,8969
2022-01-26,37060.0,38895.0,36330.0,36765.0,10251
2022-01-27,35565.0,37210.0,35485.0,36555.0,8331
2022-01-28,37075.890625,37415.0,36215.0,36535.0,5566
2022-01-31,38485.0,38790.0,36620.0,37845.0,4094
2022-02-01,38585.0,39275.0,38055.0,38450.0,4095
2022-02-02,37535.0,38900.0,36515.0,38685.0,4396
2022-02-03,36265.0,37100.0,36235.0,36970.0,4222
2022-02-04,40640.0,40935.0,36895.0,36930.0,9595
2022-02-07,44235.0,44615.0,41420.0,41420.0,7457
2022-02-08,44340.0,45605.0,42780.0,44110.0,5873
2022-02-09,44855.0,44900.0,43210.0,44235.0,4103
2022-02-10,44180.0,45905.0,43270.0,44640.0,8449
2022-02-11,42390.0,44145.0,42075.0,43950.0,6220
2022-02-14,42205.0,42930.0,41560.0,42470.0,5402
2022-02-15,44215.0,44620.0,42495.0,42665.0,4089
2022-02-16,44175.0,44860.0,43350.0,44210.0,3894
2022-02-17,40900.0,44275.0,40090.0,44075.0,6682
2022-02-18,39945.0,41000.0,39485.0,40675.0,7267
2022-02-22,37915.0,39460.0,36340.0,38860.0,12994
2022-02-23,37660.0,39235.0,37365.0,37890.0,9503
2022-02-24,38360.0,39740.0,34295.0,37670.0,14197
2022-02-25,39202.08984375,39645.0,37900.0,38110.0,6107
2022-02-28,42000.0,42055.0,37205.0,37860.0,9471
2022-03-01,44240.0,45110.0,42930.0,43100.0,8747
2022-03-02,43925.0,45455.0,43420.0,44205.0,6395
2022-03-03,42080.0,44325.0,41870.0,44205.0,6109
2022-03-04,39545.0,42640.0,39090.0,42495.0,5656
2022-03-07,37540.0,39540.0,37180.0,39060.0,5831
2022-03-08,38505.0,39410.0,37895.0,38110.0,5230
2022-03-09,41920.0,42715.0,38540.0,38540.0,7469
2022-03-10,39630.0,42245.0,38555.0,42055.0,5922
2022-03-11,38325.0,40260.0,38240.0,39530.0,5471
2022-03-14,38830.0,39340.0,37495.0,38725.0,4213
2022-03-15,39760.0,39935.0,38085.0,38725.0,4604
2022-03-16,40920.0,41765.0,38810.0,39725.0,8470
2022-03-17,40885.0,41520.0,40570.0,41200.0,2547
2022-03-18,42095.0,42360.0,40180.0,41050.0,5113
2022-03-21,41220.0,41595.0,40555.0,41445.0,5712
2022-03-22,42390.0,43490.0,40885.0,41335.0,10059
2022-03-23,42250.0,42985.0,41815.0,42880.0,8001
2022-03-24,43965.0,44340.0,42345.0,42430.0,11117
2022-03-25,44504.0,45170.0,43625.0,43975.0,5774
2022-03-28,48190.0,48475.0,46550.0,46740.0,6528
2022-03-29,47930.0,48390.0,47235.0,47970.0,4677
2022-03-30,47240.0,48000.0,46715.0,47430.0,4074
2022-03-31,45735.0,47875.0,45620.0,47220.0,5480
2022-04-01,46550.0,46910.0,44345.0,45865.0,5689
2022-04-04,46085.0,47610.0,45205.0,47225.0,5287
2022-04-05,46140.0,47445.0,45550.0,46600.0,7492
2022-04-06,43775.0,46060.0,43130.0,45995.0,7113
2022-04-07,43380.0,43885.0,42720.0,43880.0,4605
2022-04-08,42715.0,44090.0,42445.0,43565.0,5079
2022-04-11,39955.0,42805.0,39460.0,42710.0,5945
2022-04-12,39290.0,40805.0,39190.0,39410.0,5562
2022-04-13,41120.0,41590.0,39560.0,39650.0,5018
2022-04-14,39825.0,41540.0,39565.0,41240.0,3012
2022-04-18,40700.0,41125.0,38535.0,40150.0,5796
2022-04-19,41520.0,41820.0,40585.0,40825.0,3695
2022-04-20,41235.0,42295.0,40895.0,41335.0,3726
2022-04-21,41245.0,43010.0,40610.0,41550.0,5772
2022-04-22,39455.0,40815.0,39165.0,40650.0,4525
2022-04-25,40210.0,40400.0,38190.0,39595.0,7333
2022-04-26,38220.0,40765.0,37665.0,40210.0,10107
2022-04-27,38900.0,39475.0,37665.0,38210.0,6779
2022-04-28,39920.0,40440.0,38900.0,39220.0,8547
2022-04-29,38997.33984375,39840.0,38595.0,39785.0,4974
2022-05-02,38540.0,39180.0,38005.0,38350.0,4364
2022-05-03,37635.0,38810.0,37420.0,38685.0,4864
2022-05-04,39900.0,40100.0,37535.0,37725.0,8011
2022-05-05,36270.0,39860.0,35520.0,39795.0,10002
2022-05-06,35925.0,36595.0,35180.0,36405.0,5712
2022-05-09,30930.0,34455.0,30300.0,34455.0,12896
2022-05-10,31280.0,32615.0,29700.0,30960.0,7243
2022-05-11,29195.0,32140.0,28105.0,30195.0,19281
2022-05-12,28585.0,30100.0,25350.0,28860.0,15142
2022-05-13,30035.0,31000.0,28230.0,28255.0,6899
2022-05-16,29505.0,31400.0,29020.0,31000.0,6177
2022-05-17,30000.0,30745.0,29420.0,30130.0,7459
2022-05-18,29185.0,30650.0,28650.0,30560.0,7228
2022-05-19,29945.0,30510.0,28555.0,29025.0,8809
2022-05-20,29260.0,30715.0,28635.0,30235.0,9098
2022-05-23,29015.0,30680.0,28960.0,30010.0,11285
2022-05-24,29305.0,29580.0,28570.0,29235.0,11237
2022-05-25,29535.0,30225.0,29300.0,29585.0,9662
2022-05-26,29315.0,29895.0,27995.0,29750.0,12168
2022-05-27,29042.23046875,29605.0,28630.0,29550.0,8360
2022-05-31,31650.0,32455.0,29110.0,29170.0,14873
2022-06-01,30035.0,32020.0,29265.0,31700.0,7625
2022-06-02,30290.0,30435.0,29480.0,29535.0,6669
2022-06-03,29535.0,30725.0,29165.0,30355.0,6335
2022-06-06,31490.0,31805.0,29820.0,29900.0,9293
2022-06-07,31045.0,31575.0,29130.0,31500.0,11270
2022-06-08,30080.0,31580.0,29775.0,31460.0,7937
2022-06-09,29945.0,30665.0,29880.0,30320.0,4174
2022-06-10,28920.0,31025.0,28740.0,30085.0,8031
2022-06-13,23110.0,27365.0,22490.0,27355.0,18646
2022-06-14,22125.0,23290.0,20775.0,23010.0,16480
2022-06-15,21625.0,22385.0,20025.0,21460.0,19873
2022-06-16,20790.0,22945.0,20435.0,22165.0,9773
2022-06-17,20470.0,21315.0,20145.0,20645.0,8720
2022-06-21,20860.0,21715.0,19600.0,20390.0,18029
2022-06-22,20105.0,20920.0,19760.0,20920.0,13382
2022-06-23,20900.0,21090.0,19875.0,19945.0,10083
2022-06-24,21206.900390625,21535.0,20740.0,20740.0,7037
2022-06-27,20800.0,21530.0,20420.0,21360.0,5894
2022-06-28,20175.0,21195.0,20125.0,20765.0,5868
2022-06-29,20185.0,20405.0,19775.0,20290.0,6703
2022-06-30,18760.0,20295.0,18525.0,20240.0,10284
2022-07-01,19315.0,20790.0,18630.0,18700.0,10646
2022-07-05,20390.0,20740.0,18985.0,19270.0,15041
2022-07-06,20275.0,20450.0,19730.0,20310.0,5808
2022-07-07,21855.0,21890.0,20245.0,20360.0,8758
2022-07-08,21765.0,22550.0,21160.0,21670.0,9678
2022-07-11,20455.0,21045.0,20215.0,21045.0,7657
2022-07-12,19315.0,20190.0,19215.0,20190.0,7721
2022-07-13,19615.0,20090.0,18830.0,19290.0,12021
2022-07-14,20625.0,20885.0,19585.0,19890.0,10781
2022-07-15,21190.0,21215.0,20360.0,20440.0,6272
2022-07-18,21620.0,22785.0,20750.0,21080.0,10033
2022-07-19,23460.0,23725.0,21575.0,21660.0,11774
2022-07-20,23695.0,24300.0,22930.0,23650.0,10139
2022-07-21,23230.0,23685.0,22365.0,23595.0,7350
2022-07-22,22615.0,23800.0,22540.0,23210.0,6639
2022-07-25,21885.0,23035.0,21580.0,22830.0,10395
